method,seed,round,labels,true_return,regret,gradient_cosine,directional_gradient_bias,posterior_directional_variance,rm_error_full_centered,rm_error_policy_centered,rm_error_critical,rm_decoy_abs_mean,proxy_grad_norm,true_grad_norm,beta,l2
entropy,0,5,62,2.4023310887516702,0.7276689112483297,0.9962551658750294,0.9086400745497717,7.5811788883444615,2.7367361105532972,4.196656969973308,5.392031021215103,1.2886560105917415,1.1267409935695611,0.21892074088090435,5.0,0.001
entropy,0,6,70,2.5132915652514085,0.6167084347485914,0.9964606497387491,0.7377163593465086,5.008056423898743,2.7367361105532972,3.8041437563683513,5.392031021215103,1.2886560105917415,0.9145720114307471,0.17748382952262742,5.0,0.001
entropy,0,7,78,2.5883217166521733,0.5416782833478266,0.9972191422860464,0.6255294274949399,3.4872429513575955,2.9650214448801946,3.550009378015151,5.392031064897094,1.3401774466657823,0.7731118662583353,0.14799398898929506,5.0,0.001
entropy,0,8,86,2.6411484438172192,0.48885155618278064,0.9972958406378174,0.5350436013296835,2.554505268741914,2.9650214448801946,3.2908953029482677,5.392031064897094,1.3401774466657823,0.6612529549492926,0.1265515692303421,5.0,0.001
entropy,0,9,94,2.6801554920127066,0.44984450798729325,0.9973518164729654,0.46667354758817486,1.944998895926388,2.9650214448801946,3.0781941472095102,5.392031064897094,1.3401774466657823,0.5767474582856533,0.11036618059888215,5.0,0.001
entropy,0,10,102,2.709850767442878,0.4201492325571219,0.9975519092399827,0.4099716361191367,1.5277065266100438,2.967103719359865,2.884428341220535,5.392031834730263,1.4713063356700156,0.507575825925394,0.09784372011339271,5.0,0.001
entropy,0,11,110,2.7333330567695855,0.3966669432304144,0.9975832753917334,0.3679919074401298,1.231983912273513,2.9671036808073508,2.7341101579549636,5.39203146252052,1.4713067402236617,0.4556032139896554,0.08782355188856013,5.0,0.001
entropy,0,12,118,2.752347025166602,0.3776529748333979,0.9976087803641764,0.3336751480048771,1.0136429240033995,2.9671036552405474,2.604314935373062,5.3920312289849015,1.471306931923354,0.41311936761111767,0.0796346435295403,5.0,0.001
entropy,0,13,126,2.768045732147878,0.3619542678521217,0.9976299484757358,0.30512539056584354,0.8480900914159174,2.967103642955318,2.490861231244488,5.3920311167834285,1.4713070218952056,0.37777591782331843,0.07282312180831839,5.0,0.001
entropy,0,14,134,2.7813676100995512,0.34863238990044865,0.99720873404694,0.2849521323302462,0.7170817701044032,3.01440300511833,2.444772972343738,5.392032378733599,1.6024358849721072,0.35177270321036097,0.06700760693193991,5.0,0.001
